vem_id,merc_id,ets,croston_tsb,linear,lightgbm,dlinear
VEM0001,MERC00001,22.666666666666668,30.707136689525196,30.26272074065268,30.219187456054232,52.37997808710869
VEM0001,MERC00002,11.75,3.7882497083350524,3.3647837614583795,3.407126057180374,13.30154410266033
VEM0001,MERC00003,0.75,4.508258628445883,2.8680303329675234,2.773974671998169,13.640746116938217
VEM0001,MERC00004,1.5,4.500090009647128,2.7152680258296087,2.752177191848467,23.47965497597245
VEM0001,MERC00005,14.75,12.754381074147615,8.425704608012126,8.302481649216011,17.68060104832307
VEM0001,MERC00006,9.75,7.053369891976852,1.7880161181521794,1.768749176266435,3.657625041056349
VEM0002,MERC00001,32.5,7.006070991030733,15.179997254775033,14.80525667568185,28.91213436421448
VEM0002,MERC00002,11.25,9.43728134890543,6.313479109510249,6.232613748315656,4.491596213086339
VEM0002,MERC00003,4.5,4.833470993543209,5.502972780211293,5.343797116854057,8.191238824172629
VEM0002,MERC00004,3.25,4.476057036031774,6.862166232885771,7.566757900876431,35.04107734883378
VEM0002,MERC00005,3.25,12.11517538105969,5.389309663501292,5.490316184877137,33.44082328219912
VEM0002,MERC00006,10.0,4.164114895996061,6.121812012208206,5.981308260828129,31.55677829615712
VEM0003,MERC00001,56.5,25.096226834921538,11.51673247405298,11.355578166382148,15.779534278269352
VEM0003,MERC00002,1.0,2.8306472104128733,2.5038757968979697,2.6765260489824967,29.130036946016276
VEM0003,MERC00003,3.5,14.235720185838549,11.543066370278229,11.996373156138278,17.227174929573962
VEM0003,MERC00004,42.0,6.67155779911469,0.7284998034517254,0.898887338645296,5.122691820158631
VEM0003,MERC00005,7.25,1.5008586472978058,4.158321485539092,4.001639887179325,8.562122894131917
VEM0003,MERC00006,8.666666666666666,5.025610916841716,7.3793990014643045,7.3960727014676495,12.064547701844958
VEM0004,MERC00001,26.75,28.825997390265712,18.60149005122871,18.281355577802493,30.853133541107084
VEM0004,MERC00002,7.0,5.85040029833306,4.547455620635444,5.152407365944668,11.871700554572877
VEM0004,MERC00003,36.5,18.871275166081713,29.809013617435614,29.65778035186247,40.004758312114475
VEM0004,MERC00004,11.5,5.628685278629944,3.0718145088219306,3.1359804982902375,5.384141306775419
VEM0004,MERC00005,6.5,12.749728566201414,7.43143467007123,7.6353473842181785,24.118340475917776
VEM0004,MERC00006,20.25,15.750921893334294,16.31143608435584,16.49874179362832,60.02005707788301
