vem_id,merc_id,sarima,ets,prophet,croston_tsb,linear,xgboost,lightgbm,dlinear,timemixer,timesnet
VEM0001,MERC00001,30.95165602070954,19.489277880543042,23.168535691312183,30.707136689525196,32.71638068493005,37.89133602146171,32.84072092371638,27.338135507497686,27.338135507497686,27.338135507497686
VEM0001,MERC00002,56.455944136248746,3.7593022763983606,5.732421288044488,3.7882497083350524,3.878575181625294,3.805051624751968,4.438626207210566,20.081191063053243,20.081191063053243,20.081191063053243
VEM0001,MERC00003,4.530778726676465,4.520656419371521,4.479183919130241,4.508258628445883,3.159819479503442,2.2958717118996965,3.426431649725926,6.287369223972783,6.287369223972783,6.287369223972783
VEM0001,MERC00004,2.2378847561983184,2.301023298457041,2.540806119901207,4.500090009647128,2.924038327293835,1.8855339518925156,2.7675851586215168,9.961219798685427,9.961219798685427,9.961219798685427
VEM0001,MERC00005,13.537401802600634,16.589405232361834,43.58295213219964,12.754381074147615,8.398845701758725,10.192132375501501,8.003683079274914,15.265817499834853,15.265817499834853,15.265817499834853
VEM0001,MERC00006,8.241947625665434,7.248961805619108,8.445917972106892,7.053369891976852,2.5972210675995733,2.7940114555697733,1.9262026248120714,9.265817499834853,9.265817499834853,9.265817499834853
VEM0002,MERC00001,8.075561268707734,12.062883521750773,18.00041169665776,7.006070991030733,20.214157666302093,17.163986033427534,6.1514121229841585,18.808920948110714,18.808920948110714,18.808920948110714
VEM0002,MERC00002,9.457167169517804,10.547322756597769,10.473578469856886,9.43728134890543,7.701252844531806,5.849003946352809,4.303649216282107,9.439668074547496,9.439668074547496,9.439668074547496
VEM0002,MERC00003,2.736074030847271,2.3419007275029915,1.8448869268294281,4.833470993543209,6.326466969843537,3.853798566565672,3.124557329658469,6.205831867650945,6.205831867650945,6.205831867650945
VEM0002,MERC00004,4.341988400749733,2.966949414008356,1.0091213189451969,4.476057036031774,4.667869091441718,12.52306178000083,10.426831663620773,46.39656462627163,46.39656462627163,46.39656462627163
VEM0002,MERC00005,3.1850798758287597,2.78335589217992,3.3988378644478217,12.11517538105969,5.32412848691697,5.673349570771183,7.389342022745253,12.787369223972782,12.787369223972782,12.787369223972782
VEM0002,MERC00006,10.037054576368421,9.573670594540344,8.63875834626925,4.164114895996061,6.282610847685297,6.54134183555313,8.504486140753185,13.55353301707623,13.55353301707623,13.55353301707623
VEM0003,MERC00001,36.25,34.103530498936095,27.605273292403417,25.096226834921538,13.328020409812224,20.755796664929022,24.914561693415273,18.195056005581982,18.195056005581982,18.195056005581982
VEM0003,MERC00002,1.8542546955719326,0.5046810243169391,0.8790158530161251,2.8306472104128733,1.2199306527303113,3.544566541337474,2.5216681583218628,21.16272841937508,21.16272841937508,21.16272841937508
VEM0003,MERC00003,11.88842458213,8.396610446026372,11.90110516718457,14.235720185838549,7.861948272369429,8.499791605026516,10.749270565675884,8.684280143513014,8.684280143513014,8.684280143513014
VEM0003,MERC00004,36.562347071539826,6.5280499990320235,5.971191232156102,6.67155779911469,1.4093149607301523,3.954753395254935,3.878261292245537,15.200683400217997,15.200683400217997,15.200683400217997
VEM0003,MERC00005,6.417866851955115,2.355036079660037,2.231668824229586,1.5008586472978058,4.1939256396412645,5.617601879822615,3.3027373276272582,12.63507037339807,12.63507037339807,12.63507037339807
VEM0003,MERC00006,4.1455083257172625,6.505109015475338,3.600197318400852,5.025610916841716,8.219424299884045,5.972661182309177,4.106335665236693,12.577120181827189,12.577120181827189,12.577120181827189
VEM0004,MERC00001,25.232045486984468,27.05879248489975,23.890803223682582,28.825997390265712,22.829930012665997,30.17147749802372,37.285086890436574,26.59196692512221,26.59196692512221,26.59196692512221
VEM0004,MERC00002,3.8142074375699617,6.930797011667468,6.946678248416432,5.85040029833306,4.336530273871815,4.409874006192164,3.6686242003614677,27.852982250792707,27.852982250792707,27.852982250792707
VEM0004,MERC00003,18.225844986798354,20.31109837906197,30.615652132053008,18.871275166081713,27.61348567109175,20.9144301634808,17.925006132726825,26.673504281444053,26.673504281444053,26.673504281444053
VEM0004,MERC00004,5.742065484017946,4.710275612186489,1.4007928706831145,5.628685278629944,2.5986631556455726,2.906376747431125,5.5070986416783825,3.695056005581979,3.695056005581979,3.695056005581979
VEM0004,MERC00005,9.24741267397808,6.936862829351555,4.839228094298664,12.749728566201414,7.978389962205325,6.41195841271707,10.83668559124988,10.939668074547498,10.939668074547498,10.939668074547498
VEM0004,MERC00006,17.762933029920717,12.393058438146149,9.054491373677958,15.750921893334294,8.707340587189343,11.718674821306251,10.656494150947589,40.57041520098427,40.57041520098427,40.57041520098427
