vem_id,merc_id,sarima,ets,prophet,croston_tsb,linear,xgboost,lightgbm,dlinear,timemixer,timesnet
VEM0001,MERC00001,2.54979950177771e-17,0.9999952823259207,4.717661055626681e-06,5.760816203159186e-17,7.108949341150202e-20,2.292399281095096e-27,4.6968261730694724e-20,4.34122966846188e-12,4.34122966846188e-12,4.34122966846188e-12
VEM0001,MERC00002,1.4599138728513933e-77,0.2821823314389478,0.0003927783014392917,0.2562265432182304,0.1896114686467329,0.2422706766230629,0.02931620177158672,6.640116561279593e-25,6.640116561279593e-25,6.640116561279593e-25
VEM0001,MERC00003,0.0005376743110381984,0.0005561255240132686,0.0006385728080803493,0.0005795894459796845,0.05190223668510177,0.9244396566007466,0.02134152384450408,1.5402601787250546e-06,1.5402601787250546e-06,1.5402601787250546e-06
VEM0001,MERC00004,0.17592583387579702,0.1425368695978503,0.0640923254367142,9.342263014048638e-05,0.017865722582369584,0.5693897588450881,0.030096067028558784,1.1605316314626971e-12,1.1605316314626971e-12,1.1605316314626971e-12
VEM0001,MERC00005,7.687944391356993e-09,2.934828575451698e-13,2.4570906936615104e-52,1.04555970752963e-07,0.2111699409473595,0.0005352833590752886,0.7882946633767806,2.419202564366131e-11,2.419202564366131e-11,2.419202564366131e-11
VEM0001,MERC00006,6.190547652174767e-10,1.695209113430018e-08,3.136546649884207e-10,3.253655551924454e-08,0.09189835222124004,0.04768968557429147,0.860411911721927,2.0395089516548082e-11,2.0395089516548082e-11,2.0395089516548082e-11
VEM0002,MERC00001,0.0015466349464647615,2.613049551374606e-09,6.63277456900412e-18,0.05465546233512542,4.139707985806351e-21,1.0778179296551855e-16,0.94379790010536,4.479795770757562e-19,4.479795770757562e-19,4.479795770757562e-19
VEM0002,MERC00002,3.443538412152214e-08,9.095845583256139e-10,1.163051292425504e-09,3.679532181921915e-08,1.1993647263243427e-05,0.005759120832590075,0.9942287027055585,3.650374873838717e-08,3.650374873838717e-08,3.650374873838717e-08
VEM0002,MERC00003,0.04077681481463427,0.1517181717647511,0.795314262748541,3.750768050738542e-05,2.5869447965725547e-07,0.0009825197861611052,0.011169304276857805,3.8674468920031127e-07,3.8674468920031127e-07,3.8674468920031127e-07
VEM0002,MERC00004,1.49462498685134e-05,0.0014625309080502611,0.9985079190997573,9.559782468985596e-06,5.043959831652584e-06,2.1439541310613893e-17,2.3217710804153993e-14,1.9692352144462738e-66,1.9692352144462738e-66,1.9692352144462738e-66
VEM0002,MERC00005,0.18843086070102044,0.7189638644343243,0.09240716548160859,2.2259463663293945e-14,0.00015085579716974678,4.7099110494679776e-05,1.5447535274441958e-07,2.36817853332844e-15,2.36817853332844e-15,2.36817853332844e-15
VEM0002,MERC00006,3.144267108791907e-09,1.4734535645520356e-08,3.324761947809925e-07,0.9987813366941228,0.0008563147260502972,0.00036147806172308615,5.201630297954658e-07,2.5520870919406463e-14,2.5520870919406463e-14,2.5520870919406463e-14
